"scientific_name"	"id"	"time"	"decimalLongitude"	"decimalLatitude"	"lon"	"lat"	"bio1"	"bio2"	"bio4"
"Panthera onca"	63	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	89	1645
"Panthera onca"	77	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2988	91	1607
"Panthera onca"	68	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2995	88	1590
"Panthera onca"	55	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	91	1601
"Panthera onca"	75	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2990	88	1632
"Panthera onca"	137	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2990	91	1549
"Panthera onca"	186	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2991	89	1992
"Panthera onca"	187	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2991	89	1979
"Panthera onca"	382	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2990	89	1966
"Panthera onca"	412	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2988	89	1658
"Panthera onca"	413	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2988	90	1626
"Panthera onca"	444	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2963	86	3559
"Panthera onca"	10	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2992	61	362
"Panthera onca"	328	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2968	74	1721
"Panthera onca"	330	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2966	65	1749
"Panthera onca"	145	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2979	75	2178
"Panthera onca"	341	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	36	2226
"Panthera onca"	121	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	32	2227
"Panthera onca"	125	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	32	2228
"Panthera onca"	127	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	36	2238
"Panthera onca"	184	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	36	2238
"Panthera onca"	103	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	32	2228
"Panthera onca"	17	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	36	2238
"Panthera onca"	370	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	32	2228
"Panthera onca"	42	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	32	2230
"Panthera onca"	86	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2988	27	2229
"Panthera onca"	318	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2989	32	2230
