"","site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","huella","altitud","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"1891","7142_6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1782,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1892","7156_0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1110,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1893","7156_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1110,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1894","7158_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,890.5,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1895","7160_6",0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,697,27,71,NA,NA,NA,NA,NA,NA,NA,NA
"1896","7162_0",0,0,0,0,0,0,0,NA,NA,NA,85,652,206,56,15,15,15,15,40,NA,NA,NA
"1897","7162_1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,652,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1898","7162_10",0,0,0,0,0,0,NA,NA,NA,NA,85,652,3,3,11,9,29,165,NA,NA,NA,NA
"1899","7162_11",0,0,0,0,NA,NA,NA,NA,NA,NA,85,652,15,45,140,12,NA,NA,NA,NA,NA,NA
"1900","7162_2",0,0,0,NA,NA,NA,NA,NA,NA,NA,85,652,299,60,60,NA,NA,NA,NA,NA,NA,NA
"1901","7162_3",0,0,NA,NA,NA,NA,NA,NA,NA,NA,85,652,130,50,NA,NA,NA,NA,NA,NA,NA,NA
"1902","7162_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,652,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1903","7162_5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,652,77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1904","7162_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,652,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1905","7162_7",0,0,NA,NA,NA,NA,NA,NA,NA,NA,85,652,64,2,NA,NA,NA,NA,NA,NA,NA,NA
"1906","7162_9",0,0,0,0,NA,NA,NA,NA,NA,NA,85,652,28,16,43,7,NA,NA,NA,NA,NA,NA
"1907","7163_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,630,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1908","7163_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,630,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1909","7164_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,559,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1910","7173_7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,317,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1911","7237_4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1775.5,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1912","7288_0",1,0,NA,NA,NA,NA,NA,NA,NA,NA,62,1455,30,20,NA,NA,NA,NA,NA,NA,NA,NA
"1913","7288_8",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1455,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1914","7291_11",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1349,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1915","7291_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1349,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1916","7296_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1189,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1917","7307_11",0,0,0,NA,NA,NA,NA,NA,NA,NA,60,416,40,20,5,NA,NA,NA,NA,NA,NA,NA
