"site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","bio18_1981_01_01_1982_01_01","bio4_1981_01_01_1982_01_01","bio7_1981_01_01_1982_01_01","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"364_113",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,180,220,NA,NA,NA,NA,NA,NA,NA
"364_115",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422_113",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,195,NA,NA,NA,NA,NA,NA,NA,NA
"432_108",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432_145",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432_147",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432_148",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432_153",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432_162",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432_164",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435_151",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456_109",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456_148",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457_13",0,1,1,1,1,0,1,1,0,1,NA,NA,NA,50,270,120,151,300,300,150,90,70,225
"457_50",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457_76",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,300,300,NA,NA,NA,NA,NA,NA,NA
"457_77",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457_85",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA
"457_88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457_94",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,22,30,39,NA,NA,NA,NA,NA,NA
"457_109",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,69,NA,NA,NA,NA,NA,NA,NA,NA
"457_113",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,190,NA,NA,NA,NA,NA,NA,NA,NA
"457_119",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,60,NA,NA,NA,NA,NA,NA,NA,NA
"457_121",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457_122",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457_125",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,224,NA,NA,NA,NA,NA,NA,NA,NA
"457_126",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457_131",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,57,33,82,150,240,NA,NA,NA,NA,NA
"457_132",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,283,NA,NA,NA,NA,NA,NA,NA,NA
"457_144",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,180,NA,NA,NA,NA,NA,NA,NA,NA
"457_146",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457_148",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,88,80,NA,NA,NA,NA,NA,NA,NA
"457_150",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,79,62,144,26,20,NA,NA,NA,NA,NA
"458_100",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458_105",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,25,NA,NA,NA,NA,NA,NA,NA,NA
"460_85",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA
"460_94",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
